x,y,z,yaw
-2.5,-2.5,3.0,2.356194490192345
-2.5,-2.5,3.0,2.199114857512855
-2.5,-2.5,3.0,2.0420352248333655
-2.5,-2.5,3.0,1.8849555921538759
-2.5,-2.5,3.0,1.7278759594743862
-2.5,-2.5,3.0,1.5707963267948966
-2.5,-2.5,3.05,1.5707963267948966
-2.5,-2.5,3.0999999999999996,1.5707963267948966
-2.5,-2.5,3.1499999999999995,1.5707963267948966
-2.5,-2.5,3.1999999999999993,1.5707963267948966
-2.5,-2.5,3.249999999999999,1.5707963267948966
-2.5,-2.5,3.299999999999999,1.5707963267948966
-2.5,-2.5,3.3499999999999988,1.5707963267948966
-2.5,-2.5,3.3999999999999986,1.5707963267948966
-2.5,-2.5,3.4499999999999984,1.5707963267948966
-2.5,-2.5,3.4999999999999982,1.5707963267948966
-2.5,-2.5,3.549999999999998,1.5707963267948966
-2.5,-2.5,3.599999999999998,1.5707963267948966
-2.5,-2.5,3.6499999999999977,1.5707963267948966
-2.5,-2.5,3.6999999999999975,1.5707963267948966
-2.5,-2.5,3.7499999999999973,1.5707963267948966
-2.5,-2.5,3.799999999999997,1.5707963267948966
-2.5,-2.5,3.849999999999997,1.5707963267948966
-2.5,-2.5,3.899999999999997,1.5707963267948966
-2.5,-2.5,3.9499999999999966,1.5707963267948966
-2.5,-2.5,3.9999999999999964,1.5707963267948966
-2.5,-2.5,4.049999999999996,1.5707963267948966
-2.5,-2.5,4.099999999999996,1.5707963267948966
-2.5,-2.5,4.149999999999996,1.5707963267948966
-2.5,-2.5,4.199999999999996,1.5707963267948966
-2.5,-2.5,4.249999999999996,1.5707963267948966
-2.5,-2.5,4.299999999999995,1.5707963267948966
-2.5,-2.5,4.349999999999995,1.5707963267948966
-2.5,-2.5,4.399999999999995,1.5707963267948966
-2.5,-2.5,4.449999999999995,1.5707963267948966
-2.5,-2.5,4.499999999999995,1.5707963267948966
-2.5,-2.5,4.5499999999999945,1.5707963267948966
-2.5,-2.5,4.599999999999994,1.5707963267948966
-2.5,-2.5,4.649999999999994,1.5707963267948966
-2.5,-2.5,4.699999999999994,1.5707963267948966
-2.5,-2.5,4.749999999999994,1.5707963267948966
-2.5,-2.5,4.799999999999994,1.5707963267948966
-2.5,-2.5,4.849999999999993,1.5707963267948966
-2.5,-2.5,4.899999999999993,1.5707963267948966
-2.5,-2.5,4.949999999999993,1.5707963267948966
-2.5,-2.5,4.999999999999993,1.5707963267948966
-2.5,-2.5,4.999999999999993,1.413716694115407
-2.5,-2.5,4.999999999999993,1.2566370614359172
-2.5,-2.5,4.999999999999993,1.0995574287564276
-2.5,-2.5,4.999999999999993,0.9424777960769379
-2.5,-2.5,4.999999999999993,0.7853981633974483
-2.5,-2.5,4.999999999999993,0.6283185307179586
-2.5,-2.5,4.999999999999993,0.47123889803846897
-2.5,-2.5,4.999999999999993,0.3141592653589793
-2.5,-2.5,4.999999999999993,0.15707963267948966
-2.5,-2.5,4.999999999999993,0.0
-2.5,-2.375,4.999999999999993,0.0
-2.5,-2.25,4.999999999999993,0.0
-2.5,-2.125,4.999999999999993,0.0
-2.5,-2.0,4.999999999999993,0.0
-2.5,-1.875,4.999999999999993,0.0
-2.5,-1.75,4.999999999999993,0.0
-2.5,-1.625,4.999999999999993,0.0
-2.5,-1.5,4.999999999999993,0.0
-2.5,-1.375,4.999999999999993,0.0
-2.5,-1.25,4.999999999999993,0.0
-2.5,-1.125,4.999999999999993,0.0
-2.5,-1.0,4.999999999999993,0.0
-2.5,-0.875,4.999999999999993,0.0
-2.5,-0.75,4.999999999999993,0.0
-2.5,-0.625,4.999999999999993,0.0
-2.5,-0.5,4.999999999999993,0.0
-2.5,-0.375,4.999999999999993,0.0
-2.5,-0.25,4.999999999999993,0.0
-2.5,-0.125,4.999999999999993,0.0
-2.5,0.0,4.999999999999993,0.0
-2.5,0.125,4.999999999999993,0.0
-2.5,0.25,4.999999999999993,0.0
-2.5,0.375,4.999999999999993,0.0
-2.5,0.5,4.999999999999993,0.0
-2.5,0.625,4.999999999999993,0.0
-2.5,0.75,4.999999999999993,0.0
-2.5,0.875,4.999999999999993,0.0
-2.5,1.0,4.999999999999993,0.0
-2.5,1.125,4.999999999999993,0.0
-2.5,1.25,4.999999999999993,0.0
-2.5,1.375,4.999999999999993,0.0
-2.5,1.5,4.999999999999993,0.0
-2.5,1.625,4.999999999999993,0.0
-2.5,1.75,4.999999999999993,0.0
-2.5,1.875,4.999999999999993,0.0
-2.5,2.0,4.999999999999993,0.0
-2.5,2.125,4.999999999999993,0.0
-2.5,2.25,4.999999999999993,0.0
-2.5,2.375,4.999999999999993,0.0
-2.5,2.5,4.999999999999993,0.0
-2.5,2.5,4.999999999999993,-0.15707963267948966
-2.5,2.5,4.999999999999993,-0.3141592653589793
-2.5,2.5,4.999999999999993,-0.47123889803846897
-2.5,2.5,4.999999999999993,-0.6283185307179586
-2.5,2.5,4.999999999999993,-0.7853981633974483
-2.5,2.5,4.999999999999993,-0.9424777960769379
-2.5,2.5,4.999999999999993,-1.0995574287564276
-2.5,2.5,4.999999999999993,-1.2566370614359172
-2.5,2.5,4.999999999999993,-1.413716694115407
-2.5,2.5,4.999999999999993,-1.5707963267948966
-2.375,2.5,4.999999999999993,-1.5707963267948966
-2.25,2.5,4.999999999999993,-1.5707963267948966
-2.125,2.5,4.999999999999993,-1.5707963267948966
-2.0,2.5,4.999999999999993,-1.5707963267948966
-1.875,2.5,4.999999999999993,-1.5707963267948966
-1.75,2.5,4.999999999999993,-1.5707963267948966
-1.625,2.5,4.999999999999993,-1.5707963267948966
-1.5,2.5,4.999999999999993,-1.5707963267948966
-1.375,2.5,4.999999999999993,-1.5707963267948966
-1.25,2.5,4.999999999999993,-1.5707963267948966
-1.125,2.5,4.999999999999993,-1.5707963267948966
-1.0,2.5,4.999999999999993,-1.5707963267948966
-0.875,2.5,4.999999999999993,-1.5707963267948966
-0.75,2.5,4.999999999999993,-1.5707963267948966
-0.625,2.5,4.999999999999993,-1.5707963267948966
-0.5,2.5,4.999999999999993,-1.5707963267948966
-0.375,2.5,4.999999999999993,-1.5707963267948966
-0.25,2.5,4.999999999999993,-1.5707963267948966
-0.125,2.5,4.999999999999993,-1.5707963267948966
0.0,2.5,4.999999999999993,-1.5707963267948966
0.125,2.5,4.999999999999993,-1.5707963267948966
0.25,2.5,4.999999999999993,-1.5707963267948966
0.375,2.5,4.999999999999993,-1.5707963267948966
0.5,2.5,4.999999999999993,-1.5707963267948966
0.625,2.5,4.999999999999993,-1.5707963267948966
0.75,2.5,4.999999999999993,-1.5707963267948966
0.875,2.5,4.999999999999993,-1.5707963267948966
1.0,2.5,4.999999999999993,-1.5707963267948966
1.125,2.5,4.999999999999993,-1.5707963267948966
1.25,2.5,4.999999999999993,-1.5707963267948966
1.375,2.5,4.999999999999993,-1.5707963267948966
1.5,2.5,4.999999999999993,-1.5707963267948966
1.625,2.5,4.999999999999993,-1.5707963267948966
1.75,2.5,4.999999999999993,-1.5707963267948966
1.875,2.5,4.999999999999993,-1.5707963267948966
2.0,2.5,4.999999999999993,-1.5707963267948966
2.125,2.5,4.999999999999993,-1.5707963267948966
2.25,2.5,4.999999999999993,-1.5707963267948966
2.375,2.5,4.999999999999993,-1.5707963267948966
2.5,2.5,4.999999999999993,-1.5707963267948966
2.5,2.5,4.999999999999993,-1.7278759594743862
2.5,2.5,4.999999999999993,-1.8849555921538759
2.5,2.5,4.999999999999993,-2.0420352248333655
2.5,2.5,4.999999999999993,-2.199114857512855
2.5,2.5,4.999999999999993,-2.356194490192345
2.5,2.5,4.999999999999993,-2.5132741228718345
2.5,2.5,4.999999999999993,-2.670353755551324
2.5,2.5,4.999999999999993,-2.827433388230814
2.5,2.5,4.999999999999993,-2.9845130209103035
2.5,2.5,4.999999999999993,-3.141592653589793
2.5,2.375,4.999999999999993,-3.141592653589793
2.5,2.25,4.999999999999993,-3.141592653589793
2.5,2.125,4.999999999999993,-3.141592653589793
2.5,2.0,4.999999999999993,-3.141592653589793
2.5,1.875,4.999999999999993,-3.141592653589793
2.5,1.75,4.999999999999993,-3.141592653589793
2.5,1.625,4.999999999999993,-3.141592653589793
2.5,1.5,4.999999999999993,-3.141592653589793
2.5,1.375,4.999999999999993,-3.141592653589793
2.5,1.25,4.999999999999993,-3.141592653589793
2.5,1.125,4.999999999999993,-3.141592653589793
2.5,1.0,4.999999999999993,-3.141592653589793
2.5,0.875,4.999999999999993,-3.141592653589793
2.5,0.75,4.999999999999993,-3.141592653589793
2.5,0.625,4.999999999999993,-3.141592653589793
2.5,0.5,4.999999999999993,-3.141592653589793
2.5,0.375,4.999999999999993,-3.141592653589793
2.5,0.25,4.999999999999993,-3.141592653589793
2.5,0.125,4.999999999999993,-3.141592653589793
2.5,0.0,4.999999999999993,-3.141592653589793
2.5,-0.125,4.999999999999993,-3.141592653589793
2.5,-0.25,4.999999999999993,-3.141592653589793
2.5,-0.375,4.999999999999993,-3.141592653589793
2.5,-0.5,4.999999999999993,-3.141592653589793
2.5,-0.625,4.999999999999993,-3.141592653589793
2.5,-0.75,4.999999999999993,-3.141592653589793
2.5,-0.875,4.999999999999993,-3.141592653589793
2.5,-1.0,4.999999999999993,-3.141592653589793
2.5,-1.125,4.999999999999993,-3.141592653589793
2.5,-1.25,4.999999999999993,-3.141592653589793
2.5,-1.375,4.999999999999993,-3.141592653589793
2.5,-1.5,4.999999999999993,-3.141592653589793
2.5,-1.625,4.999999999999993,-3.141592653589793
2.5,-1.75,4.999999999999993,-3.141592653589793
2.5,-1.875,4.999999999999993,-3.141592653589793
2.5,-2.0,4.999999999999993,-3.141592653589793
2.5,-2.125,4.999999999999993,-3.141592653589793
2.5,-2.25,4.999999999999993,-3.141592653589793
2.5,-2.375,4.999999999999993,-3.141592653589793
2.5,-2.5,4.999999999999993,-3.141592653589793
2.5,-2.5,4.999999999999993,2.9845130209103035
2.5,-2.5,4.999999999999993,2.827433388230814
2.5,-2.5,4.999999999999993,2.670353755551324
2.5,-2.5,4.999999999999993,2.5132741228718345
2.5,-2.5,4.999999999999993,2.356194490192345
2.5,-2.5,4.999999999999993,2.199114857512855
2.5,-2.5,4.999999999999993,2.0420352248333655
2.5,-2.5,4.999999999999993,1.8849555921538759
2.5,-2.5,4.999999999999993,1.7278759594743862
2.5,-2.5,4.999999999999993,1.5707963267948966
2.375,-2.5,4.999999999999993,1.5707963267948966
2.25,-2.5,4.999999999999993,1.5707963267948966
2.125,-2.5,4.999999999999993,1.5707963267948966
2.0,-2.5,4.999999999999993,1.5707963267948966
1.875,-2.5,4.999999999999993,1.5707963267948966
